,Power,Score 1,Score 2,Std Dev 1,Std Dev 2
0,0.1,2060.0,2870.2,422.39981060601815,665.6542345692694
1,0.2,1894.2,2913.4,379.1173433120675,603.3022791271387
2,0.30000000000000004,1969.0,2581.2,465.58286050927603,544.5300359025202
3,0.4,1811.2,2545.0,285.1458574133596,565.133789469361
4,0.5,1671.0,2526.4,333.36376527751185,569.7050464933586
5,0.6,2066.6,2548.8,414.7047624515542,645.4835086971626
6,0.7,2030.2,3124.8,564.7870040997757,512.5108389097737
7,0.7999999999999999,1940.8,2830.6,523.2438819518103,560.1285923785716
8,0.8999999999999999,2080.4,2724.2,409.2087975593878,553.2004699925697
9,0.9999999999999999,1960.0,2943.0,279.2002865328043,644.8102046338907
